section,decision_field,unit_or_format,mandatory,buyer_requirement,supplier_response,evidence_reference,source_date,status,owner,next_action,profile_id,tool_or_die_id,finish_batch_id,notes
Profile scope,Mating and no-coat zones,Marked drawing or image,If applicable,Identify interfaces and masked areas,,,,Open,Buyer,Mark controlled zones,,,,Resolve coating buildup at functional interfaces
Profile scope,Quantity basis,Length pieces and mass,Yes,Define ordered quantity and allowed variance,,,,Open,Buyer,State order and variance basis,,,,Reconcile sale units before price comparison
Tooling commercial,Tool or die ID,Supplier identifier,Yes,Assign a unique tool identity,,,,Open,Supplier,Provide die identifier,,,,Carry the ID into trials and repeat orders
Tooling commercial,Tool drawing,Drawing number and revision,Yes,Provide the controlled tool design reference,,,,Open,Supplier,Attach tool drawing reference,,,,Protect confidential information under the contract
Tooling commercial,Tooling charge,Currency and amount,Yes,State the complete charge and exclusions,,,,Open,Supplier,Quote tooling separately,,,,Keep tooling outside profile unit price where possible
Tooling commercial,Payment trigger,Milestone,Yes,Define when tooling payment becomes due,,,,Open,Buyer and supplier,Agree milestone,,,,Do not pay against an undefined acceptance event
Tooling commercial,Ownership,Contract statement,Yes,State who owns the physical tool and design rights,,,,Open,Buyer and supplier,Resolve ownership,,,,Price alone does not establish ownership
Tooling commercial,Permitted use,Contract statement,Yes,Define supplier use restrictions and exclusivity,,,,Open,Buyer and supplier,Agree permitted use,,,,Include related entities and subcontractors where material
Tooling commercial,Correction rounds,Count or agreed process,Yes,Define included corrections and approval route,,,,Open,Buyer and supplier,Agree correction process,,,,Separate buyer changes from supplier nonconformity
Tooling commercial,Maintenance responsibility,Contract statement,Yes,Assign routine maintenance and evidence,,,,Open,Supplier,Describe maintenance control,,,,Retain intervention history by tool ID
Tooling commercial,Replacement responsibility,Contract statement,Yes,Define replacement triggers and cost responsibility,,,,Open,Buyer and supplier,Agree replacement terms,,,,Distinguish wear from supplier-caused damage
Tooling commercial,Storage period,Duration and conditions,Yes,Define storage duration and preservation method,,,,Open,Supplier,Confirm storage terms,,,,Include notice before disposal
Tooling commercial,Transfer terms,Contract statement,Yes,Define release transfer format timing and costs,,,,Open,Buyer and supplier,Agree transfer process,,,,Confirm whether the tool can operate elsewhere
Tooling commercial,Destruction terms,Contract statement,Yes,Define authorised destruction and evidence,,,,Open,Buyer and supplier,Agree end-of-program control,,,,Require buyer approval before destruction
Tooling qualification,Trial plan,Trial quantity and date,Yes,Define sample extrusion and measurement plan,,,,Open,Buyer and supplier,Approve trial plan,,,,Join output to tool and drawing revisions
Tooling qualification,Trial material identity,Batch or cast reference,Yes,Identify the trial material basis,,,,Open,Supplier,Provide traceability,,,,Do not approve a sample with unknown material identity
Tooling qualification,First article quantity,Piece count,Yes,Define the number and location of measured samples,,,,Open,Buyer,Set sampling requirement,,,,Avoid approval from a single unrepresentative cut
Tooling qualification,Dimensional report,Controlled inspection report,Yes,Report drawing dimensions and methods,,,,Open,Supplier,Submit completed report,,,,Mark pass fail and unresolved fields explicitly
Tooling qualification,Profile mass report,Measured mass per length,Yes,Record the trial mass and measurement basis,,,,Open,Supplier,Submit measured result,,,,Use for cost and loading reconciliation
Tooling qualification,Straightness and twist report,Controlled inspection report,Yes,Report against the buyer-selected basis,,,,Open,Supplier,Submit measured result,,,,Do not infer compliance without a selected method
Tooling qualification,Fabrication trial,Sample or report,If applicable,Prove critical downstream operations on the trial,,,,Open,Buyer and supplier,Complete fabrication check,,,,Test fit before approving repeat production
Tooling qualification,Assembly or mating trial,Sample or report,If applicable,Prove interfaces with mating parts,,,,Open,Buyer,Complete fit check,,,,Record mating part revision
Tooling qualification,First article disposition,Approve reject or conditional,Yes,Record the buyer decision and conditions,,,,Hold,Buyer,Issue written disposition,,,,Verbal approval does not release production
Tooling qualification,Approved first article ID,Physical and digital reference,Yes,Retain an identifiable approved sample and report,,,,Hold,Buyer and supplier,Label and retain reference,,,,Link every repeat order to the approved baseline
Tooling qualification,Correction verification,Report and sample,If applicable,Verify every corrective iteration,,,,Open,Supplier,Close correction evidence,,,,Do not overwrite failed trial records
Finish system,Finish type,Controlled designation,Yes,Define powder coat anodising or other treatment,,,,Open,Buyer,Select the finish route,,,,Apply the relevant acceptance regime only
Finish system,Finish specification,Document and revision,Yes,Define the complete contractual finish basis,,,,Open,Buyer,Attach current finish specification,,,,A colour code alone is insufficient
Finish system,Certification scheme,Scheme and edition,If contractually required,Select QUALICOAT GSB or another applicable basis, ,https://www.qualicoat.net/main/specifications.html,2026-07-11,Open,Buyer,State whether a scheme is mandatory,,,,Architectural coating schemes may not fit every product use
Finish system,Coater licence or certification,Licence ID and validity,If contractually required,Require evidence for the actual finishing plant, ,https://www.qualicoat.net/main/about-us/assured-quality/licensed-coaters.html,2026-07-11,Open,Supplier,Provide current plant evidence,,,,Verify against the current official register
Finish system,GSB coater evidence,Seal and validity,If contractually required,Require evidence for the actual finishing plant, ,https://gsb-international.de/en/quality-regulations/,2026-07-11,Open,Supplier,Provide current plant evidence,,,,Use only when GSB is part of the contract basis
Finish system,Finishing plant and line,Legal entity site and line reference,Yes,Identify the actual finishing plant and coating line used for the order,,,,Open,Supplier,Provide controlled plant and line identity,,,,A parent company or another line does not identify the batch
Finish system,Pretreatment route,Process designation and sequence,Yes,Declare the buyer-approved pretreatment route and controlled process reference,,,,Open,Supplier,Return signed process declaration,,,,Do not infer the route from country or powder colour
Finish system,Pretreatment material approval,Manufacturer product and approval reference,If contractually required,Match the actual chemical system to the current selected scheme register,,https://www.qualicoat.net/main/about-us/assured-quality/alternative-pretreatment-systems-a-n.html,2026-07-18,Open,Supplier,Provide current system reference,,,,Scheme approval does not identify order use without plant and batch evidence
Finish system,Pretreatment production record,Line date batch and controlled record,If required,Join the ordered production window to the line and applicable factory production control record,,,,Open,Supplier,Provide batch-linked evidence or agreed extract,,,,Protect proprietary settings while proving the agreed control
Finish system,Pretreatment change control,Change declaration,Yes,Disclose changes to plant line process chemical system or approval before production,,,,Hold,Supplier,Return no-change statement or change notice,,,,Reopen buyer review after a material change
Finish system,Rinse and drying control,Contract or scheme record reference,If required,Identify the applicable control record under the selected contract or scheme basis,,,,Open,Supplier,Provide agreed evidence extract,,,,Do not copy a scheme threshold into a contract that does not adopt it
Finish system,Pretreatment system,System and approval reference,Yes,Identify the specified process and product reference,,,,Open,Supplier,Provide process and approval evidence,,,,Join to plant line and production batch
Finish system,Coating material,Manufacturer product and approval,Yes,Identify the exact powder or liquid coating product,,,,Open,Supplier,Provide product evidence,,,,Record product changes before use
Finish system,Coating class or durability basis,Contract designation,If applicable,Define the class or project exposure requirement,,,,Open,Buyer,Select project basis,,,,Do not infer environment suitability from colour
Finish system,Colour reference,Controlled colour code,Yes,Define code supplier variant and reference sample,,,,Open,Buyer,Approve colour basis,,,,Different powder suppliers can produce different appearances
Finish system,Gloss range,Contract method and limit,Yes,Define measurement method and acceptance range,,,,Open,Buyer,Set project-specific requirement,,,,Leave blank until approved by the buyer
Finish system,Texture,Controlled description and sample,If applicable,Define structure and visual acceptance basis,,,,Open,Buyer,Approve texture reference,,,,Use boundary samples where appearance is critical
Finish system,Film thickness,Contract method and limit,If applicable,Define measurement method locations and range,,,,Open,Buyer,Set project-specific requirement,,,,Do not invent a universal thickness threshold
Finish system,Curing evidence,Process record,If applicable,Require batch-linked curing control evidence,,,,Open,Supplier,Describe and retain process record,,,,Protect proprietary parameters while proving control
Finish system,Finish change control,Written approval workflow,Yes,Block unapproved process material or plant changes,,,,Open,Buyer and supplier,Agree change notification,,,,Requalification may be required after change
Finish acceptance,Approved colour sample,Physical sample ID,Yes,Create an identifiable retained reference,,,,Hold,Buyer and supplier,Label and retain sample,,,,Record supplier plant powder and date
Finish acceptance,Limit samples,Physical sample IDs,If appearance critical,Approve acceptable visual boundaries, ,https://gsb-international.de/en/architects-and-building-planners/info/recommendation-of-the-tender/,2026-07-11,Hold,Buyer,Approve boundary samples,,,,Control colour uniformity gloss and structure
Finish acceptance,Sample viewing conditions,Controlled instruction,Yes,Define lighting angle distance and surface preparation,,,,Open,Buyer,Issue viewing instruction,,,,Visual decisions need a repeatable context
Finish acceptance,Colour measurement,Method and result,If required,Define instrument method locations and limits,,,,Open,Buyer and supplier,Agree measurement plan,,,,Retain raw results by sample and batch
Finish acceptance,Gloss measurement,Method and result,If required,Define instrument method locations and limits,,,,Open,Buyer and supplier,Agree measurement plan,,,,Join readings to the approved sample
Finish acceptance,Film thickness report,Method locations and result,If required,Define sampling and acceptance rule,,,,Open,Supplier,Submit batch-linked report,,,,Keep individual results where contract requires
Finish acceptance,Adhesion test,Method and result,If required,Define applicable method and acceptance rule,,,,Open,Buyer and supplier,Agree test basis,,,,Do not claim pass without the contractual method
Finish acceptance,Impact or deformation test,Method and result,If required,Define applicable method and acceptance rule,,,,Open,Buyer and supplier,Agree test basis,,,,Use only when relevant to the finish specification
Finish acceptance,Corrosion test evidence,Method exposure and result,If required,Define project or scheme requirement,,,,Open,Supplier,Provide applicable evidence,,,,Separate system approval from batch inspection
Finish acceptance,Appearance inspection,Sampling plan and result,Yes,Define defect types viewing basis and disposition,,,,Open,Buyer and supplier,Agree visual inspection plan,,,,Include visible and non-visible faces
Finish acceptance,Finish sample disposition,Approve reject or conditional,Yes,Record the buyer decision and conditions,,,,Hold,Buyer,Issue written disposition,,,,Do not release production on verbal acceptance
Finish acceptance,Approved finish reference ID,Physical and digital reference,Yes,Retain sample images and approval record,,,,Hold,Buyer and supplier,Link reference to profile and plant,,,,Use on every repeat order
Repeat order,Purchase order reference,Buyer reference,Yes,Identify the repeat release,,,,Open,Buyer,Enter purchase order,,,,Do not rely on the previous PO implicitly
Repeat order,Profile baseline confirmation,Profile ID and drawing revision,Yes,Confirm the repeat order matches the approved baseline,,,,Hold,Supplier,Return signed confirmation,,,,Escalate every revision mismatch
Repeat order,Tool baseline confirmation,Tool ID and intervention status,Yes,Confirm tool identity and changes since approval,,,,Hold,Supplier,Disclose maintenance or correction,,,,Recheck after material tool intervention
Repeat order,Finish baseline confirmation,Finish specification and sample ID,Yes,Confirm the exact approved finish basis,,,,Hold,Supplier,Return signed confirmation,,,,Disclose powder pretreatment plant or process changes
Repeat order,Extrusion batch identity,Batch cast or lot reference,Yes,Assign traceability for the production lot,,,,Open,Supplier,Provide batch identity,,,,Join mechanical and dimensional evidence
Repeat order,Finish batch identity,Coating lot and production date,Yes,Assign traceability for the finish lot,,,,Open,Supplier,Provide finish batch identity,,,,Link coating material and coater records
Repeat order,Preproduction review,Meeting record or signed checklist,Yes,Close changes and exceptions before production,,,,Hold,Buyer and supplier,Complete review,,,,Do not release while exceptions remain open
Production acceptance,Dimensional sampling plan,Method locations and frequency,Yes,Define the contract sampling basis,,,,Open,Buyer and supplier,Agree before production,,,,Use risk and process capability rather than guesswork
Production acceptance,Dimensional results,Inspection report,Yes,Report the released production batch,,,,Open,Supplier,Submit batch-linked report,,,,Retain actual readings where required
Production acceptance,Profile mass reconciliation,Measured and invoiced basis,Yes,Reconcile production mass to price and packing,,,,Open,Supplier,Submit reconciliation,,,,Investigate unexplained variation
Production acceptance,Finish inspection results,Inspection report,Yes,Report visual and measured finish acceptance,,,,Open,Supplier,Submit batch-linked report,,,,Reference the approved finish sample
Production acceptance,Nonconformity register,Issue disposition and owner,Yes,Record all deviations and concessions,,,,Open,Supplier and buyer,Close or reject each issue,,,,Concessions need written buyer approval
Production acceptance,Retained production sample,Sample ID and storage,If required,Retain a traceable shipment sample,,,,Open,Supplier,Label and retain sample,,,,Agree retention duration
Packing,Bundle specification,Drawing and revision,Yes,Define bundle geometry and protection,,,,Open,Buyer and supplier,Approve packing drawing,,,,Join bundle design to transport equipment
Packing,Surface protection,Material and application,Yes,Prevent rubbing marking moisture and adhesive damage,,,,Open,Supplier,Describe protection system,,,,Confirm compatibility with the finish
Packing,Interleaving and contact points,Drawing or photo,If applicable,Control profile-to-profile and support contact,,,,Open,Supplier,Provide packing detail,,,,Pay special attention to visible faces
Packing,Bundle mass and dimensions,Measured values,Yes,Provide net gross mass and external dimensions,,,,Open,Supplier,Submit packing schedule,,,,Use for carrier and warehouse acceptance
Packing,Marking and traceability,Label content,Yes,Show profile tool batch finish and PO references,,,,Open,Buyer and supplier,Agree label schema,,,,Labels must survive transport and receiving
Packing,Loading plan,Equipment drawing or photo,Yes,Prove equipment fit support and restraint,,,,Open,Supplier,Submit loading plan,,,,Control long-length overhang and handling
Packing,Unloading constraints,Equipment and access note,Yes,Define destination handling limits,,,,Open,Buyer,Confirm receiving capability,,,,Do not shift unresolved unloading risk downstream
Packing,Packing change control,Written approval workflow,Yes,Block unapproved packing changes,,,,Open,Buyer and supplier,Agree notification and approval,,,,Revalidate transport fit after change
Claims,Receiving inspection,Method and timing,Yes,Define checks before unpacking and after opening,,,,Open,Buyer,Issue receiving instruction,,,,Preserve package and damage evidence
Claims,Claim notification window,Contract duration,Yes,Define notice evidence and responsible contacts,,,,Open,Buyer and supplier,Agree claim procedure,,,,Align hidden defect handling separately
Claims,Nonconforming stock control,Segregation and disposition,Yes,Prevent use of disputed profiles,,,,Open,Buyer,Define quarantine process,,,,Maintain batch and bundle traceability
Claims,Replacement execution,Route timing and cost owner,Yes,Define replacement production freight and delivery,,,,Open,Buyer and supplier,Agree restoration process,,,,Model landed restoration cost not factory value only
Claims,Tool correction after claim,Trigger and verification,If applicable,Define corrective trial and reapproval route,,,,Open,Buyer and supplier,Agree corrective process,,,,Do not resume repeat production without evidence
Claims,Corrective action record,Root cause action and verification,Yes,Require a closed corrective-action record,,,,Open,Supplier,Submit and close record,,,,Track recurrence by profile tool and finish system
Release,Commercial release,Approve hold or reject,Yes,Confirm price terms tooling and exceptions,,,,Hold,Buyer,Record commercial decision,,,,No deposit while critical commercial fields are open
Release,Tooling release,Approve hold or reject,Yes,Confirm tool terms trial and first article,,,,Hold,Buyer,Record tooling decision,,,,Release only the approved tool and drawing revision
Release,Finish release,Approve hold or reject,Yes,Confirm finish system sample and acceptance plan,,,,Hold,Buyer,Record finish decision,,,,Release only the approved plant and finish basis
Release,Production release,Approve hold or reject,Yes,Confirm all preproduction gates are closed,,,,Hold,Buyer,Issue written production release,,,,Conditional releases must state conditions
Release,Shipment release,Approve hold or reject,Yes,Confirm batch reports packing and open issues,,,,Hold,Buyer,Issue written shipment release,,,,Do not approve from unit price alone
Release,Repeat-order closeout,Closed with lessons and changes,Yes,Record claims performance and next-order actions,,,,Open,Buyer and supplier,Complete post-receipt review,,,,Preserve the baseline for the next release
